,・ｿｽEE・ｿｽ・ｿｽ・ｿｽEE・ｿｽEE・ｿｽEE,・ｿｽEE・ｿｽEE・ｿｽEE・ｿｽEE・ｿｽ・ｿｽ,・ｿｽEE・ｿｽEE・ｿｽEE・ｿｽEE・ｿｽEE・ｿｽ,・ｿｽEE・ｿｽ・ｿｽEE・ｿｽEE・ｿｽEE・ｿｽ,・ｿｽEE・ｿｽ・ｿｽEE・ｿｽEE・ｿｽEE・ｿｽEE,・ｿｽEE・ｿｽ・ｿｽEE・ｿｽEE・ｿｽ・ｿｽEE・ｿｽEE・ｿｽEE・ｿｽEE,・ｿｽEE・ｿｽ・ｿｽEE・ｿｽEE・ｿｽ・ｿｽEE・ｿｽEE・ｿｽEE・ｿｽEE,・ｿｽEE・ｿｽEE・ｿｽ・ｿｽEE・ｿｽ・ｿｽEE・ｿｽEE・ｿｽEE・ｿｽEE,・ｿｽEE・ｿｽ・ｿｽEE・ｿｽEE・ｿｽEE・ｿｽEE,・ｿｽEE・ｿｽEE・ｿｽEE・ｿｽEE・ｿｽEE・ｿｽ,・ｿｽEE・ｿｽEE・ｿｽEE・ｿｽEE・ｿｽ・ｿｽEE,・ｿｽEE・ｿｽEE・ｿｽEE・ｿｽEE・ｿｽ・ｿｽEE・ｿｽEE・ｿｽEE・ｿｽ,・ｿｽEE・ｿｽEE・ｿｽ・ｿｽEE・ｿｽEE・ｿｽEE,・ｿｽEE・ｿｽEE・ｿｽ・ｿｽEE・ｿｽ・ｿｽEE,・ｿｽEE・ｿｽEE・ｿｽEE・ｿｽEE・ｿｽEE・ｿｽEE,・ｿｽEE・ｿｽEE・ｿｽEE・ｿｽEE・ｿｽEE・ｿｽEE・ｿｽEE・ｿｽEE・ｿｽEE,・ｿｽEE・ｿｽ・ｿｽ・ｿｽEE・ｿｽEE・ｿｽEE,・ｿｽEE・ｿｽ・ｿｽEE・ｿｽEE・ｿｽEE・ｿｽ,・ｿｽEE・ｿｽ・ｿｽ・ｿｽEE・ｿｽ・ｿｽ・ｿｽEE・ｿｽEE・ｿｽEE,・ｿｽEE・ｿｽEE・ｿｽEE・ｿｽEE・ｿｽEE・ｿｽEE,・ｿｽEE・ｿｽEE・ｿｽ・ｿｽEE・ｿｽEE・ｿｽEE・ｿｽEE・ｿｽEE・ｿｽEE,・ｿｽEE・ｿｽEE・ｿｽ・ｿｽEE・ｿｽ・ｿｽEE・ｿｽEE・ｿｽEE・ｿｽEE,・ｿｽEE・ｿｽEE・ｿｽ・ｿｽEE・ｿｽEE・ｿｽ,・ｿｽEE・ｿｽEE・ｿｽEE・ｿｽEE・ｿｽEE・ｿｽ,・ｿｽEE・ｿｽEE・ｿｽEE・ｿｽEE・ｿｽEE・ｿｽEE,・ｿｽEE・ｿｽEE・ｿｽ・ｿｽEE・ｿｽEE・ｿｽ・ｿｽEE・ｿｽEE・ｿｽEE,・ｿｽEE・ｿｽ・ｿｽEE・ｿｽEE・ｿｽEE・ｿｽEE,・ｿｽEE・ｿｽ・ｿｽEE・ｿｽEE・ｿｽ・ｿｽEE・ｿｽEE・ｿｽEE・ｿｽEE,・ｿｽEE・ｿｽEE・ｿｽ・ｿｽEE・ｿｽEE・ｿｽEE・ｿｽEE・ｿｽEE・ｿｽEE,・ｿｽEE・ｿｽEE・ｿｽEE・ｿｽEE・ｿｽEE・ｿｽEE,・ｿｽEE・ｿｽEE・ｿｽEE・ｿｽEE・ｿｽ・ｿｽEE,・ｿｽEE・ｿｽEE・ｿｽEE・ｿｽEE・ｿｽEE・ｿｽEE・ｿｽEE・ｿｽEE・ｿｽEE,・ｿｽEE・ｿｽ・ｿｽ・ｿｽEE・ｿｽ・ｿｽEE・ｿｽEE・ｿｽEE・ｿｽEE,・ｿｽEE・ｿｽ・ｿｽ・ｿｽEE・ｿｽEE・ｿｽ・ｿｽEE・ｿｽ・ｿｽEE・ｿｽEE・ｿｽEE・ｿｽEE,・ｿｽEE・ｿｽ・ｿｽEE・ｿｽEE・ｿｽEE・ｿｽEE・ｿｽEE・ｿｽEE・ｿｽEE,・ｿｽEE・ｿｽ・ｿｽEE・ｿｽEE・ｿｽEE・ｿｽEE・ｿｽEE・ｿｽEE・ｿｽEE・ｿｽEE・ｿｽEE・ｿｽEE,・ｿｽEE・ｿｽ・ｿｽEE・ｿｽEE・ｿｽ・ｿｽ・ｿｽEE・ｿｽEE・ｿｽEE,・ｿｽEE・ｿｽ・ｿｽ・ｿｽEE・ｿｽ・ｿｽEE・ｿｽEE・ｿｽEE・ｿｽ,・ｿｽEE・ｿｽEE・ｿｽ・ｿｽEE・ｿｽEE・ｿｽEE,・ｿｽEE・ｿｽEE・ｿｽEE・ｿｽEE・ｿｽEE・ｿｽ・ｿｽEE・ｿｽEE・ｿｽ,・ｿｽEE・ｿｽ・ｿｽ・ｿｽEE・ｿｽEE・ｿｽ,・ｿｽEE・ｿｽEE・ｿｽ・ｿｽEE・ｿｽ・ｿｽ・ｿｽEE・ｿｽEE・ｿｽ,・ｿｽEE・ｿｽEE・ｿｽ・ｿｽEE・ｿｽ・ｿｽ・ｿｽEE・ｿｽEE・ｿｽEE,・ｿｽEE・ｿｽEE・ｿｽ・ｿｽEE・ｿｽ・ｿｽ・ｿｽEE・ｿｽ・ｿｽ・ｿｽEE・ｿｽEE・ｿｽEE,・ｿｽEE・ｿｽEE・ｿｽ・ｿｽEE・ｿｽ・ｿｽ,・ｿｽEE・ｿｽ・ｿｽEE・ｿｽEE・ｿｽ・ｿｽ,・ｿｽEE・ｿｽ・ｿｽ・ｿｽEE・ｿｽ・ｿｽEE,・ｿｽEE・ｿｽ・ｿｽ・ｿｽEE・ｿｽ・ｿｽ,・ｿｽEE・ｿｽEE・ｿｽEE・ｿｽEE・ｿｽ・ｿｽ,・ｿｽEE・ｿｽ・ｿｽEE・ｿｽEE・ｿｽEE・ｿｽEE・ｿｽEE・ｿｽEE・ｿｽEE,・ｿｽEE・ｿｽEE・ｿｽEE・ｿｽEE・ｿｽEE・ｿｽEE,・ｿｽEE・ｿｽEE・ｿｽEE・ｿｽEE・ｿｽEE・ｿｽEE,・ｿｽEE・ｿｽ・ｿｽ・ｿｽEE・ｿｽ・ｿｽEE・ｿｽEE・ｿｽEE・ｿｽEE,・ｿｽEE・ｿｽ・ｿｽEE・ｿｽEE・ｿｽ・ｿｽEE・ｿｽEE・ｿｽEE・ｿｽEE,・ｿｽEE・ｿｽ・ｿｽEE・ｿｽEE・ｿｽ・ｿｽEE・ｿｽEE・ｿｽEE・ｿｽEE,・ｿｽEE・ｿｽEE・ｿｽEE・ｿｽEE・ｿｽEE・ｿｽEE・ｿｽEE・ｿｽEE・ｿｽEE,・ｿｽEE・ｿｽ・ｿｽEE・ｿｽEE・ｿｽEE・ｿｽEE・ｿｽEE・ｿｽEE・ｿｽEE,・ｿｽEE・ｿｽEE・ｿｽEE・ｿｽEE・ｿｽ・ｿｽEE,・ｿｽEE・ｿｽEE・ｿｽEE・ｿｽEE・ｿｽ・ｿｽEE,・ｿｽEE・ｿｽ・ｿｽ・ｿｽEE・ｿｽEE・ｿｽ,・ｿｽEE・ｿｽ・ｿｽ・ｿｽEE・ｿｽ・ｿｽ,・ｿｽEE・ｿｽEE・ｿｽEE・ｿｽEE・ｿｽEE・ｿｽEE・ｿｽEE・ｿｽ・ｿｽ,・ｿｽEE・ｿｽEE・ｿｽEE・ｿｽEE・ｿｽEE・ｿｽEE・ｿｽEE・ｿｽ・ｿｽEE・ｿｽEE・ｿｽ・ｿｽEE,DFA,・ｿｽEE・ｿｽEE・ｿｽEE・ｿｽEE・ｿｽ・ｿｽ,・ｿｽEE・ｿｽ・ｿｽEE・ｿｽEE・ｿｽEE・ｿｽ・ｿｽEE・ｿｽEE・ｿｽ・ｿｽEE・ｿｽ・ｿｽ
1,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,4,0,0,0,0,0,1,188,42.1,44,4,16,0,0,45,2,0,21,18,3.83,33,2,8,1,0,,0.909090909,33,,,,,,,R,R,5,30,2015,9,1,1990,0
2,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,3,2,0,0,0,0,0.6,223,50.2,48,8,34,0,2,24,3,0,29,23,4.09,11,5,5,0,0,,1,11,,,,,,,R,R,1,19,2019,7,0,2001,0
3,32,69,57,7,4,2,0,0,6,4,0,0,2,2,8,0,0,28,4,0.07,0.105,0.179,0,,,,,,,,,,,,,,,,,,,,,26,111,12,5,1,1,0.9609375,,26,,,,,,R,R,1,19,2019,4,0,2001,0
4,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,1,2,0,0,0,0,0.333,217,39,67,3,30,0,2,26,4,0,50,39,9,27,3,13,3,2,,0.842105263,27,,,,,,,R,L,6,24,2014,7,0,1996,0
5,36,130,106,14,24,3,1,0,29,6,2,3,4,1,18,0,1,26,0,0.226,0.274,0.341,0,,,,,,,,,,,,,,,,,,,,,30,119,44,0,15,,1,,,13,16,,,1,R,L,16,34,2004,6,1,1986,0
6,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,1,0,0,0,0,38,10.1,4,1,4,0,1,10,0,0,1,1,0.87,10,2,3,0,0,,1,10,,,,,,,R,R,1,22,2019,3,0,1998,0
7,10,26,22,2,3,0,0,0,3,1,0,1,0,0,4,0,0,5,2,0.136,0.136,0.269,0,,,,,,,,,,,,,,,,,,,,,10,57,9,1,1,0,0.985074627,,10,,,,,,R,R,13,31,2007,3,0,1989,0
8,70,265,230,30,57,7,0,7,85,28,2,1,1,3,27,1,4,58,9,0.248,0.37,0.333,0,,,,,,,,,,,,,,,,,,,,,57,107,148,5,51,,0.980769231,,,,45,12,,,R,R,2,24,2018,2,0,1996,0
9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,22,6,2,0,3,0,0,5,0,0,0,0,0,2,1,0,0,0,,1,2,,,,,,,R,R,8,34,2012,3,0,1986,0
10,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,1,15,4,1,0,1,0,0,4,0,0,0,0,0,4,1,1,0,0,,1,4,,,,,,,L,L,3,28,2017,,0,1992,1
11,32,128,107,20,30,8,2,6,60,19,3,2,1,0,20,0,0,23,4,0.28,0.561,0.394,0,,,,,,,,,,,,,,,,,,,,,30,42,3,3,2,,0.9375,,,,,,,30,R,R,1,23,2019,6,0,1997,0
12,7,25,21,0,3,1,0,0,4,3,0,0,0,0,4,0,0,10,0,0.143,0.19,0.28,0,,,,,,,,,,,,,,,,,,,,,3,3,0,0,0,,1,,,,,,,3,R,R,1,30,2019,,0,1990,1
13,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,46,11,13,0,1,0,0,9,2,0,3,1,0.82,2,0,0,1,0,,0,2,,,,,,,R,R,2,26,2018,3,0,1994,0
14,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,4,4,1,0,0,0,0.5,130,26.2,30,3,16,0,3,33,5,0,16,12,4.05,27,0,3,1,0,,0.75,27,,,,,,,R,R,4,26,2016,t1,0,1994,0
15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,1,2,0,1,0,0,0,0,0,2,2,18,1,0,0,0,0,,,1,,,,,,,R,L,2,20,2018,4,0,2000,0
16,6,22,18,4,5,1,0,0,6,0,3,1,0,0,2,0,2,0,0,0.278,0.333,0.409,0,,,,,,,,,,,,,,,,,,,,,3,2,1,0,0,,1,,,,,,,3,R,L,3,26,2017,2,0,1994,0
17,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,1,0,0,0,0,0.5,90,23,17,0,3,0,1,30,1,0,6,4,1.57,6,1,3,0,0,,1,6,,,,,,,R,R,2,24,2018,1,0,1996,0
18,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,2,0,0,0,0,0,144,31.2,37,7,15,0,0,31,2,0,20,20,5.68,8,3,7,1,1,,0.909090909,8,,,,,,,R,R,4,22,2016,4,0,1998,0
19,30,121,104,24,38,13,0,6,69,24,2,2,0,0,13,0,4,24,1,0.365,0.663,0.455,0,,,,,,,,,,,,,,,,,,,,,23,42,1,0,0,,1,,,,,,,23,R,L,3,25,2017,8,0,1995,0
20,28,116,102,20,25,1,2,5,45,17,6,2,0,1,10,0,3,13,4,0.245,0.441,0.328,0,,,,,,,,,,,,,,,,,,,,,24,41,0,0,0,,1,,,,,,,24,R,R,9,27,2011,4,0,1993,0
21,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,2,1,0,0,0,0,0.667,121,25.1,20,3,26,0,1,35,2,1,17,14,4.97,22,0,1,1,0,,0.5,22,,,,,,,L,L,2,23,2018,,0,1997,1
22,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,22,4,5,0,5,0,1,4,1,0,1,1,2.25,4,1,0,0,0,,1,4,,,,,,,L,L,9,27,2011,8,1,1993,0
23,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,1,0,0,0,0,0,35,7,11,0,4,0,1,10,0,0,5,5,6.43,7,0,1,0,0,,1,7,,,,,,,R,R,3,26,2017,4,0,1994,0
24,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,4,1,0,0,0,0,0.8,245,61,53,1,20,0,2,43,1,0,21,14,2.07,12,5,15,0,3,,1,12,,,,,,,R,L,3,21,2017,3,0,1999,0
25,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,71,18.1,9,0,10,0,0,14,0,0,3,3,1.47,4,1,3,0,0,,1,4,,,,,,,L,L,1,23,2019,2,0,1997,0
26,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,2,1,0,0,0,0,147,29,40,2,24,0,3,31,1,0,21,21,6.52,17,2,2,0,0,,1,17,,,,,,,L,L,3,21,2017,5,0,1999,0
27,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,2,2,10,0,0,0,0.5,98,21,19,0,15,0,2,27,0,1,8,6,2.57,20,1,2,0,0,,1,20,,,,,,,R,R,4,28,2016,8,0,1992,0
28,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,3,0,5,0,0,0,1,112,27.1,24,1,8,0,1,28,1,0,5,4,1.32,29,3,4,0,0,,1,29,,,,,,,L,L,7,25,2013,t1,0,1995,0
29,54,185,146,25,44,5,2,2,59,15,5,2,7,0,32,0,0,23,3,0.301,0.404,0.427,0,,,,,,,,,,,,,,,,,,,,,45,61,4,1,1,,0.984848485,,,,,,,45,L,L,7,25,2013,5,0,1995,0
30,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,1,44,10.2,11,0,1,0,0,5,0,0,5,2,1.69,3,0,1,1,0,,0.5,3,,,,,,,R,R,7,25,2013,5,0,1995,0
